Lookup,Yr,Org4Code,DistName,Expr1,FTEPupils,Value(FTEPupils)
01272016FTEs,2016,0127,Hatfield,FTEs,502.5,502.5
01282016FTEIn,2016,0128,Haverhill,FTEIn,"7,308.5","7,308.5"
01282016FTEOut,2016,0128,Haverhill,FTEOut,"1,224.9","1,224.9"
01282016FTEs,2016,0128,Haverhill,FTEs,"8,533.4","8,533.4"
01312016FTEIn,2016,0131,Hingham,FTEIn,"4,285.3","4,285.3"
01312016FTEOut,2016,0131,Hingham,FTEOut,67.3,67.3
01312016FTEs,2016,0131,Hingham,FTEs,"4,352.6","4,352.6"
01332016FTEIn,2016,0133,Holbrook,FTEIn,"1,175.9","1,175.9"
01332016FTEOut,2016,0133,Holbrook,FTEOut,73.7,73.7
01332016FTEs,2016,0133,Holbrook,FTEs,"1,249.6","1,249.6"
01352016FTEIn,2016,0135,Holland,FTEIn,228.2,228.2
01352016FTEOut,2016,0135,Holland,FTEOut,less than 6,less than 6
01352016FTEs,2016,0135,Holland,FTEs,230.7,230.7
01362016FTEIn,2016,0136,Holliston,FTEIn,"2,888.6","2,888.6"
01362016FTEOut,2016,0136,Holliston,FTEOut,86.1,86.1
01362016FTEs,2016,0136,Holliston,FTEs,"2,974.7","2,974.7"
01372016FTEIn,2016,0137,Holyoke,FTEIn,"5,340.6","5,340.6"
01372016FTEOut,2016,0137,Holyoke,FTEOut,"1,265.7","1,265.7"
01372016FTEs,2016,0137,Holyoke,FTEs,"6,606.3","6,606.3"
01382016FTEIn,2016,0138,Hopedale,FTEIn,"1,176.9","1,176.9"
01382016FTEOut,2016,0138,Hopedale,FTEOut,75.8,75.8
01382016FTEs,2016,0138,Hopedale,FTEs,"1,252.7","1,252.7"
01392016FTEIn,2016,0139,Hopkinton,FTEIn,"3,425.6","3,425.6"
01392016FTEOut,2016,0139,Hopkinton,FTEOut,78.3,78.3
01392016FTEs,2016,0139,Hopkinton,FTEs,"3,503.9","3,503.9"
01412016FTEIn,2016,0141,Hudson,FTEIn,"2,788.7","2,788.7"
01412016FTEOut,2016,0141,Hudson,FTEOut,170.2,170.2
01412016FTEs,2016,0141,Hudson,FTEs,"2,958.9","2,958.9"
01422016FTEIn,2016,0142,Hull,FTEIn,958.5,958.5
01422016FTEOut,2016,0142,Hull,FTEOut,75.0,75.0
01422016FTEs,2016,0142,Hull,FTEs,"1,033.5","1,033.5"
01442016FTEIn,2016,0144,Ipswich,FTEIn,"1,803.5","1,803.5"
01442016FTEOut,2016,0144,Ipswich,FTEOut,59.4,59.4
01442016FTEs,2016,0144,Ipswich,FTEs,"1,862.9","1,862.9"
01452016FTEIn,2016,0145,Kingston,FTEIn,"1,064.0","1,064.0"
01452016FTEOut,2016,0145,Kingston,FTEOut,50.5,50.5
01452016FTEs,2016,0145,Kingston,FTEs,"1,114.5","1,114.5"
01482016FTEIn,2016,0148,Lanesborough,FTEIn,205.5,205.5
01482016FTEOut,2016,0148,Lanesborough,FTEOut,25.1,25.1
01482016FTEs,2016,0148,Lanesborough,FTEs,230.6,230.6
01492016FTEIn,2016,0149,Lawrence,FTEIn,"13,646.1","13,646.1"
01492016FTEOut,2016,0149,Lawrence,FTEOut,"1,750.6","1,750.6"
01492016FTEs,2016,0149,Lawrence,FTEs,"15,396.7","15,396.7"
01502016FTEIn,2016,0150,Lee,FTEIn,685.1,685.1
01502016FTEOut,2016,0150,Lee,FTEOut,107.0,107.0
01502016FTEs,2016,0150,Lee,FTEs,792.1,792.1
01512016FTEIn,2016,0151,Leicester,FTEIn,"1,599.6","1,599.6"
01512016FTEOut,2016,0151,Leicester,FTEOut,142.4,142.4
01512016FTEs,2016,0151,Leicester,FTEs,"1,742.0","1,742.0"
01522016FTEIn,2016,0152,Lenox,FTEIn,737.4,737.4
01522016FTEOut,2016,0152,Lenox,FTEOut,55.5,55.5
01522016FTEs,2016,0152,Lenox,FTEs,792.9,792.9
01532016FTEIn,2016,0153,Leominster,FTEIn,"6,028.6","6,028.6"
01532016FTEOut,2016,0153,Leominster,FTEOut,504.3,504.3
01532016FTEs,2016,0153,Leominster,FTEs,"6,532.9","6,532.9"
01542016FTEIn,2016,0154,Leverett,FTEIn,134.9,134.9
01542016FTEOut,2016,0154,Leverett,FTEOut,6.4,6.4
01542016FTEs,2016,0154,Leverett,FTEs,141.3,141.3
01552016FTEIn,2016,0155,Lexington,FTEIn,"6,913.1","6,913.1"
01552016FTEOut,2016,0155,Lexington,FTEOut,113.1,113.1
01552016FTEs,2016,0155,Lexington,FTEs,"7,026.2","7,026.2"
01572016FTEIn,2016,0157,Lincoln,FTEIn,"1,204.7","1,204.7"
01572016FTEOut,2016,0157,Lincoln,FTEOut,23.9,23.9
01572016FTEs,2016,0157,Lincoln,FTEs,"1,228.6","1,228.6"
01582016FTEIn,2016,0158,Littleton,FTEIn,"1,627.0","1,627.0"
01582016FTEOut,2016,0158,Littleton,FTEOut,132.3,132.3
01582016FTEs,2016,0158,Littleton,FTEs,"1,759.3","1,759.3"
01592016FTEIn,2016,0159,Longmeadow,FTEIn,"2,865.5","2,865.5"
01592016FTEOut,2016,0159,Longmeadow,FTEOut,66.1,66.1
01592016FTEs,2016,0159,Longmeadow,FTEs,"2,931.6","2,931.6"
01602016FTEIn,2016,0160,Lowell,FTEIn,"14,085.4","14,085.4"
01602016FTEOut,2016,0160,Lowell,FTEOut,"1,810.1","1,810.1"
01602016FTEs,2016,0160,Lowell,FTEs,"15,895.5","15,895.5"
01612016FTEIn,2016,0161,Ludlow,FTEIn,"2,659.7","2,659.7"
01612016FTEOut,2016,0161,Ludlow,FTEOut,99.5,99.5
01612016FTEs,2016,0161,Ludlow,FTEs,"2,759.2","2,759.2"
01622016FTEIn,2016,0162,Lunenburg,FTEIn,"1,567.3","1,567.3"
01622016FTEOut,2016,0162,Lunenburg,FTEOut,142.5,142.5
01622016FTEs,2016,0162,Lunenburg,FTEs,"1,709.8","1,709.8"
01632016FTEIn,2016,0163,Lynn,FTEIn,"15,189.2","15,189.2"
01632016FTEOut,2016,0163,Lynn,FTEOut,"1,560.9","1,560.9"
01632016FTEs,2016,0163,Lynn,FTEs,"16,750.1","16,750.1"
